number  
222551  
241164  
68503  
108644  
78294  
199675  
112521  
493975  
133111  
116961  
163385  
136282  
116800  
140838  
68427  
76009  
111811  
240964  
81692  
59857  
74022  
219169  
197823  
134945  
158131  
130445  
175034  
101209  
93811  
77939  
146524  
75892  
164588  
185511  
128132  
206048  
80486  
311247  
